Language,Algorithm,ProblemLength,Time(s)
Julia,quickSort_optim,0,0.45
C++,quickSort_boost,0,0.00
Julia,quickSort_optim,5000000,0.54
C++,quickSort_boost,5000000,0.03
Julia,quickSort_optim,10000000,0.62
C++,quickSort_boost,10000000,0.06
Julia,quickSort_optim,15000000,0.70
C++,quickSort_boost,15000000,0.09
Julia,quickSort_optim,20000000,0.76
C++,quickSort_boost,20000000,0.12
Julia,quickSort_optim,25000000,0.85
C++,quickSort_boost,25000000,0.14
Julia,quickSort_optim,30000000,0.93
C++,quickSort_boost,30000000,0.17
Julia,quickSort_optim,35000000,1.04
C++,quickSort_boost,35000000,0.22
Julia,quickSort_optim,40000000,1.17
C++,quickSort_boost,40000000,0.25
Julia,quickSort_optim,45000000,1.20
C++,quickSort_boost,45000000,0.26
Julia,quickSort_optim,50000000,1.29
C++,quickSort_boost,50000000,0.33
Julia,quickSort_optim,55000000,1.37
C++,quickSort_boost,55000000,0.32
Julia,quickSort_optim,60000000,1.39
C++,quickSort_boost,60000000,0.34
Julia,quickSort_optim,65000000,1.49
C++,quickSort_boost,65000000,0.38
Julia,quickSort_optim,70000000,1.55
C++,quickSort_boost,70000000,0.41
Julia,quickSort_optim,75000000,1.61
C++,quickSort_boost,75000000,0.43
Julia,quickSort_optim,80000000,1.69
C++,quickSort_boost,80000000,0.46
Julia,quickSort_optim,85000000,1.75
C++,quickSort_boost,85000000,0.49
Julia,quickSort_optim,90000000,1.82
C++,quickSort_boost,90000000,0.52
Julia,quickSort_optim,95000000,1.95
C++,quickSort_boost,95000000,0.54
Julia,quickSort_optim,100000000,2.05
C++,quickSort_boost,100000000,0.57
